pl_name,hostname,sy_snum,sy_pnum,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_insol,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,st_age,sy_dist,sy_vmag,sy_jmag,st_lum_linear,snr_proxy,distance_penalty,transit_depth_norm,obs_duration_norm,detectability,spectral_class,star_O,star_B,star_A,star_F,star_G,star_K,star_M,star_Unknown,priority_score,_hz_factor_diag,_esi_diag,_rocky_diag
Kepler-139 d,Kepler-139,1,5,2023.0,Transit,1.695,2.0,5.270467,7.305699922,0.0755533961,0.0,87.97,972.0,0.02649,1.4228,2454964.77905,172.3,5622.0,1.045,1.078,0.01598,0.35,4.34518,5.1,391.038,12.775,11.53,1.0374806369688934,0.007720650382436131,0.020032887118021495,0.00046760812003447905,0.02654477611935346,0.00675967514345516,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7807571469695871,1.0
Kepler-139 e,Kepler-139,1,5,2023.0,Radial Velocity,13.7,378.0,0.808,2047.635373,3.23579639,0.013121,88.74,140.91690968200797,,,,98.461,5622.0,1.045,1.078,0.01598,0.35,4.34518,5.1,391.038,12.775,11.53,1.0374806369688934,0.0,0.020032887118021495,0.0,0.01865671641787564,0.006009866135406448,G,0,0,0,0,1,0,0,0,0.0,0.0,0.38153250154219903,0.1
Kepler-1390 b,Kepler-1390,1,1,2016.0,Transit,1.18,1.76,5.89,6.48021673,0.0662,0.0,86.12,934.0,0.0142,3.211,2454965.85971,171.133,5753.0,0.98,0.98,-0.10022,-0.01,4.45,4.47,723.431,14.558,13.178,0.7939259547866121,0.001362725859076618,0.0007214048979582011,0.000250661959399381,0.059906716417798676,0.00038239122533890253,G,0,0,0,0,1,0,0,0,0.0,0.0,0.815628156253816,1.0
Kepler-1391 b,Kepler-1391,1,1,2016.0,Transit,1.68,3.46,4.01,54.4092333,0.30045,0.0,89.8,513.0,0.0193,9.511,2455008.40209,33.335,5840.0,1.1,1.03,0.43939,0.04,4.36,5.5,1038.35,13.906,12.726,2.7503628928552306,0.004833596571093643,3.093878447850818e-05,0.000340688437775215,0.17744402985041519,0.0004882951289541456,G,0,0,0,0,1,0,0,0,0.0,0.0,0.8237487355455387,1.0
Kepler-1392 b,Kepler-1392,1,1,2016.0,Transit,1.96,4.5,3.28,15.1410397,0.1189,0.0,89.71,714.0,0.04768,4.276,2454976.73863,61.42,5479.0,0.85,0.88,-0.231,-0.11,4.53,4.68,1117.0,15.963,14.403,0.5874893525297767,0.0017086578060289035,1.4090637334050282e-05,0.0008416593115607385,0.07977611940283623,0.0003178020714182592,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7347359729856144,0.85
Kepler-1393 b,Kepler-1393,1,1,2016.0,Transit,0.8,0.437,4.69,2.44357812,0.0337,0.0,88.5,1249.0,0.00673,1.822,2454965.8054,574.37,5697.0,0.92,0.95,0.15136,-0.09,4.5,3.47,544.456,13.476,12.226,1.4169678613407595,0.001169201194944836,0.004319740275264659,0.00011879964695477705,0.03399253731336942,0.001419068974938464,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7546832949479745,1.0
Kepler-1394 b,Kepler-1394,1,1,2016.0,Transit,1.39,2.51,5.14,3.93766373,0.05474,0.0,87.96,1947.0,0.00239,4.916,2454968.27848,2023.005,6481.0,2.55,1.64,0.81107,0.06,3.84,1.91,640.409,11.714,10.948,6.472469312209955,0.002213114267803745,0.001654775382347403,4.21888790820085e-05,0.09171641791027665,0.0006929943051466133,F,0,0,0,1,0,0,0,0,0.0,0.0,0.6955858413176254,1.0
Kepler-1395 b,Kepler-1395,1,1,2016.0,Transit,0.8,0.437,4.69,3.78470649,0.04974,0.0,89.88,1311.0,0.0036,3.108,2454966.52216,730.531,6138.0,1.23,1.17,0.27693,0.12,4.33,2.88,492.894,12.632,11.574,1.8920386334700388,0.0014891656358396138,0.007234167436139124,6.354810238294167e-05,0.05798507462675749,0.0023095451221361147,F,0,0,0,1,0,0,0,0,0.0,0.0,0.747751565796302,1.0
Kepler-1396 b,Kepler-1396,1,1,2016.0,Transit,2.07,4.94,3.06,18.2206421,0.1406,0.0,89.74,786.0,0.02018,5.313,2454974.37434,71.816,6195.0,1.27,1.18,0.20377,0.04,4.3,2.75,1066.46,14.691,13.492,1.598711135640848,0.001865482029886804,2.3357323097488665e-05,0.00035622241835771187,0.09912313432817327,0.0002368254095908485,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7067375332018572,0.5
Kepler-1397 b,Kepler-1397,1,1,2016.0,Transit,1.72,3.61,3.9,47.449955,0.25861,0.0,89.97,551.0,0.02064,10.747,2455006.454,58.103,6026.0,1.12,1.09,0.59141,0.0,4.37,3.55,1198.25,14.324,12.849,3.9031028908727374,0.004906291158793546,6.252682414312851e-06,0.0003643424536621988,0.2005037313429095,0.000491799443722119,F,0,0,0,1,0,0,0,0,0.0,0.0,0.8079160240988517,1.0
Kepler-1398 b,Kepler-1398,1,2,2016.0,Transit,0.9,0.666,5.02,2.78815679,0.03909,0.0,89.47,1510.0,0.00558,3.326,2454964.85216,1249.488,6126.0,1.18,1.13,0.31211,0.01,4.34,3.09,852.204,13.752,12.695,2.051681771925381,0.0008503453112465656,0.00019903298364788472,9.849955869355958e-05,0.06205223880585438,0.00015169269392246028,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7459876124928637,1.0
Kepler-1398 c,Kepler-1398,1,2,2016.0,Transit,1.03,1.08,5.43,4.13827595,0.05087,0.0,86.45,1324.0,0.00638,3.449,2454966.22851,738.183,6126.0,1.18,1.13,0.31211,0.01,4.34,3.09,852.204,13.752,12.695,2.051681771925381,0.0009900731339417374,0.00019903298364788472,0.00011262135922310217,0.06434701492525308,0.0001663944999289223,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7821268655236577,1.0
Kepler-1399 b,Kepler-1399,1,1,2016.0,Transit,1.25,2.1,5.91,1.638653058,0.0276,0.0,86.56,1610.0,0.01669,1.948,2454965.28994,1707.252,5735.0,0.96,0.97,0.00959,-0.03,4.47,4.37,1385.7,15.572,14.295,1.0223273982739403,0.00044591369730809564,9.5935946417095e-07,0.00029461606354758233,0.03634328358202175,9.711553887542247e-05,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7311284830000657,1.0
Kepler-14 b,Kepler-14,2,1,2011.0,Transit,12.733,2669.66,7.1,6.790123,0.0771,0.035,90.0,1605.0,0.22523,6.2184,2454971.08737,1029.51,6395.0,2.048,1.512,0.799,0.12,3.994,2.2,798.0,12.003,11.202,6.295061828571976,0.18563743720100195,0.0003422394225150394,0.003975816416586097,0.11601492537291787,0.016677789130270525,F,0,0,0,1,0,0,0,0,0.0,0.0,0.5007863900168777,0.1
Kepler-140 b,Kepler-140,1,2,2014.0,Transit,1.61,3.22,4.24,3.25427,0.045,0.0,87.84,1301.0,0.01603,2.978,2455005.66151,848.695,6077.0,1.288,1.044,0.25061,-0.039,4.272,0.88,583.859,13.018,11.989,1.7807788951806018,0.004428899944817199,0.0029129469868094927,0.0002829655781107097,0.05555970149243366,0.0013069521218071944,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7136859261448568,1.0
Kepler-140 c,Kepler-140,1,2,2014.0,Transit,1.8,3.89,3.67,91.353282,0.414,0.0,89.99,428.0,0.02093,7.919,2455022.60562,9.957,6077.0,1.288,1.044,0.25061,-0.039,4.272,0.88,583.859,13.018,11.989,1.7807788951806018,0.00942984164749459,0.0029129469868094927,0.0003694616063541581,0.14774253731315717,0.001749352165496962,F,0,0,0,1,0,0,0,0,0.0,0.0,0.8231037397325301,1.0
Kepler-1400 b,Kepler-1400,1,1,2016.0,Transit,1.62,3.26,4.21,9.06689421,0.0771,0.0,83.96,725.0,0.03672,2.957,2454967.75212,44.517,5044.0,0.78,0.83,-0.57763,0.04,4.58,4.57,752.237,16.067,14.26,0.26446609338391724,0.0012483269161981194,0.0005408492330146557,0.000648190644306005,0.055167910447658265,0.00039800587703546015,K,0,0,0,0,0,1,0,0,0.0,0.0,0.7910225199342809,1.0
Kepler-1401 b,Kepler-1401,1,1,2016.0,Transit,1.68,3.46,4.01,11.20066445,0.0975,0.0,81.71,808.0,0.02199,3.786,2454970.5046,100.91,5964.0,1.1,1.07,0.14,0.04,4.39,3.55,1425.43,15.224,13.871,1.3803842646028848,0.001210362707516551,6.448165365942199e-07,0.000388172992055802,0.07063432835807718,0.00018071390605345892,G,0,0,0,0,1,0,0,0,0.0,0.0,0.765631662739202,1.0
Kepler-1402 b,Kepler-1402,1,1,2016.0,Transit,0.76,0.363,4.54,2.03387914,0.0322,0.0,87.24,1789.0,0.00736,3.201,2454964.9169,2491.119,5416.0,0.87,0.9,0.44774,0.03,4.53,4.57,1493.64,14.78,13.31,2.8037546056814957,0.000624483044759806,3.2598971668117463e-07,0.00012992056487179184,0.059720149253619924,7.916556521926025e-05,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6952387195060238,1.0
Kepler-1403 b,Kepler-1403,1,1,2016.0,Transit,2.14,5.22,2.93,5.19492202,0.064,0.0,89.58,1238.0,0.02729,3.148,2454964.6228,699.644,6060.0,1.15,1.11,0.37208,0.03,4.36,3.31,2163.9,15.713,14.559,2.3554831399643525,0.0007268100058329015,4.002226894934926e-10,0.0004817299205640216,0.058731343283472515,0.0001581279766639061,F,0,0,0,1,0,0,0,0,0.0,0.0,0.6418662305755563,0.5
Kepler-1404 b,Kepler-1404,1,1,2016.0,Transit,2.01,4.7,3.18,15.9314739,0.1143,0.0,89.16,596.0,0.05567,2.71,2454974.81135,39.001,5261.0,0.8,0.84,-0.37049,-0.09,4.56,4.57,962.183,15.931,14.315,0.4260984947502543,0.0017222883612077243,6.626623940774083e-05,0.000982700794349545,0.05055970149244298,0.0003628217024625348,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7488956961990807,0.5
Kepler-1405 b,Kepler-1405,1,1,2016.0,Transit,3.96,14.9,1.32,28.2274184,0.1778,0.0,89.96,565.0,0.11134,5.648,2454974.49347,33.802,5925.0,1.07,1.05,0.02238,0.03,4.4,3.63,1530.3,16.028,14.583,1.0528827246856363,0.003885067430799555,2.259391775002825e-07,0.00196540158869909,0.1053731343281616,0.0007233949847536558,G,0,0,0,0,1,0,0,0,0.0,0.0,0.5469067896418353,0.1
Kepler-1406 b,Kepler-1406,1,1,2016.0,Transit,1.1,1.37,5.66,11.62905828,0.0987,0.0,85.67,854.0,0.0088,2.846,2454965.82038,125.89,5892.0,1.12,1.05,0.135,0.04,4.36,5.01,572.403,13.39,12.227,1.3645831365889245,0.0019089744686993893,0.003266520264394909,0.00015533980582496852,0.05309701492527407,0.0011732948076089201,G,0,0,0,0,1,0,0,0,0.0,0.0,0.8406092568088134,1.0
Kepler-1407 b,Kepler-1407,1,1,2016.0,Transit,2.25,5.69,2.74,20.0711504,0.1502,0.0,88.07,826.0,0.04057,6.137,2454969.93,78.667,6010.0,1.15,1.1,0.27131,0.05,4.36,3.24,1396.41,15.023,13.848,1.867712390816361,0.0029039094454654537,8.61922911582906e-07,0.0007161518093544287,0.1144962686565028,0.0003903333157147755,F,0,0,0,1,0,0,0,0,0.0,0.0,0.6755111735683368,0.5
Kepler-1408 b,Kepler-1408,1,1,2016.0,Transit,0.89,0.64,4.99,2.99793191,0.04218,0.0,85.24,1616.0,0.00451,4.392,2454964.76683,1982.268,6170.0,1.35,1.21,0.57889,0.0,4.25,2.57,535.048,12.124,10.976,3.7921892258645116,0.003846871749094421,0.004745872433831245,7.961165048529636e-05,0.08194029850730981,0.0017666841537490382,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7344354808959864,1.0
Kepler-1409 b,Kepler-1409,1,1,2016.0,Transit,1.04,1.12,5.47,0.764864926,0.01553,0.0,87.31,1733.0,0.0163,1.1779,2454965.13076,1552.133,5160.0,0.79,0.83,-0.4219,-0.03,4.57,4.79,694.89,15.391,13.775,0.37852973437559584,0.0005466908627863312,0.0009596902325500671,0.0002877316857894303,0.021975746268615714,0.00039192440333453166,K,0,0,0,0,0,1,0,0,0.0,0.0,0.7422152898117146,1.0
Kepler-141 b,Kepler-141,1,2,2014.0,Transit,0.69,0.257,4.3,3.107675,0.039,0.0,84.53,968.0,0.00774,2.218,2454965.63058,228.663,4910.0,0.787,0.878,-0.44625,0.2643,4.566,12.39,301.183,13.624,11.955,0.3578903595427346,0.0019042402104161033,0.04920155747445781,0.00013662842012332458,0.04138059701484817,0.014949661261848907,K,0,0,0,0,0,1,0,0,0.0,0.0,0.7652613660592432,1.0
Kepler-141 c,Kepler-141,1,2,2014.0,Transit,1.41,2.57,5.04,7.010606,0.067,0.0,87.03,738.0,0.03484,2.986,2455007.57599,77.412,4910.0,0.787,0.878,-0.44625,0.2643,4.566,12.39,301.183,13.624,11.955,0.3578903595427346,0.009945418161387921,0.04920155747445781,0.0006150044130615799,0.05570895522377666,0.015728870020518947,K,0,0,0,0,0,1,0,0,0.0,0.0,0.8298077273010281,1.0
Kepler-1410 b,Kepler-1410,1,1,2016.0,Transit,1.78,3.82,3.72,60.866168,0.2543,0.0,89.75,290.0,0.07143,4.42,2455012.28498,1.06,4092.0,0.6,0.63,-1.158,0.01,4.67,4.07,367.0,16.319,13.586,0.0695024317588797,0.005523212909689296,0.025476469946681016,0.001260900264781534,0.08246268656701032,0.0083646170991385,K,0,0,0,0,0,1,0,0,0.3563514334932899,0.1343253261879026,0.8689560098286513,1.0
Kepler-1411 b,Kepler-1411,1,1,2016.0,Transit,2.82,8.35,2.05,86.1150888,0.4001,0.0,89.99,441.0,0.08752,6.13,2454967.8925,8.927,5664.0,0.92,0.95,0.04081,-0.04,4.49,4.17,1660.48,15.945,14.686,1.0985251392432633,0.002893593673682766,6.146487275695478e-08,0.0015449249779319596,0.11436567164157767,0.0005549709285253684,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6727445777815118,0.1
Kepler-1412 b,Kepler-1412,1,1,2016.0,Transit,0.83,0.498,4.79,3.6146051,0.04608,0.0,89.83,1397.0,0.00439,3.188,2454966.09455,1087.781,5880.0,1.27,1.06,0.38332,0.04,4.25,6.31,755.678,13.347,12.146,2.417241267615442,0.001085984624752409,0.0005225551653924413,7.749338040586497e-05,0.05947761194018754,0.0002645784341961802,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7445262439459929,1.0
Kepler-1413 b,Kepler-1413,1,1,2016.0,Transit,1.82,3.97,3.62,13.1829642,0.1066,0.0,89.97,661.0,0.0518,3.636,2454974.82502,42.825,5196.0,0.8,0.84,-0.39085,-0.05,4.57,4.68,1167.49,16.473,14.821,0.4065837339634991,0.0011647740784018143,8.504628612759297e-06,0.0009143865842878828,0.06783582089539583,0.00028443934509594086,K,0,0,0,0,0,1,0,0,0.0,0.0,0.7674301730199524,0.85
Kepler-1414 b,Kepler-1414,1,1,2016.0,Transit,1.23,2.04,6.02,3.51576315,0.0426,0.0,89.82,1033.0,0.0264,1.364,2454967.29843,209.464,4951.0,0.75,0.8,-0.46384,-0.02,4.59,4.68,570.835,14.989,13.361,0.3436845426435626,0.0013951185459545753,0.003318142966455658,0.00046601941747490553,0.025447761193982375,0.001207237650572763,K,0,0,0,0,0,1,0,0,0.0,0.0,0.7942758409664745,1.0
Kepler-1415 b,Kepler-1415,1,1,2016.0,Transit,1.29,2.21,5.66,0.63642408,0.01416,0.0,86.33,1846.0,0.02179,1.0604,2454964.69006,2138.079,5267.0,0.84,0.89,-0.29708,0.12,4.54,4.17,1043.56,15.937,14.39,0.504568344078661,0.0003935429074149135,2.9368144249208038e-05,0.00038464254192341633,0.019783582089515327,0.00011919173509374085,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7146452090574444,1.0
Kepler-1416 b,Kepler-1416,1,1,2016.0,Transit,0.88,0.615,4.96,1.49514952,0.0257,0.0,42.38,1870.0,0.0052,3.11,2454965.66209,2658.55,6019.0,1.15,1.09,0.28393,0.03,4.35,2.95,949.59,14.369,12.942,1.9227817881247842,0.0006103564496720388,7.515935238056284e-05,9.179170344202684e-05,0.058022388059593234,9.278898241332996e-05,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7116692766160776,1.0
Kepler-1417 b,Kepler-1417,1,1,2016.0,Transit,1.0,0.972,5.34,20.3505213,0.14062,0.0,89.48,695.0,0.01018,7.316,2454975.7564,114.332,5839.0,1.02,1.02,0.39458,0.02,4.43,4.07,991.845,14.038,12.714,2.480732863488138,0.002260917036696797,4.925744668746862e-05,0.00017969991173842948,0.13649253731317817,0.00024290456509398441,G,0,0,0,0,1,0,0,0,0.0,0.0,0.8776442938130636,1.0
Kepler-1418 b,Kepler-1418,1,1,2016.0,Transit,1.66,3.39,4.07,22.4764425,0.131,0.0,89.8,419.0,0.05454,3.56,2454969.83193,7.29,4770.0,0.72,0.77,-0.616,0.0,4.61,3.63,499.0,15.461,13.407,0.2421029046736178,0.004463136121210383,0.006805664492230543,0.0009627537511015661,0.06641791044763727,0.002613635225375001,K,0,0,0,0,0,1,0,0,0.0,0.0,0.8519035350655975,1.0
Kepler-1419 b,Kepler-1419,1,1,2016.0,Transit,2.86,8.55,2.01,42.5215895,0.2391,0.0,89.44,510.0,0.06856,5.798,2454969.1288,21.243,5796.0,1.01,1.01,0.04229,0.04,4.43,4.37,1498.58,15.96,14.507,1.102275107696679,0.0025996202687742645,3.102771210256869e-07,0.0012102383053818001,0.10817164179084296,0.00046311927596657046,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6540264643446358,0.1
Kepler-142 b,Kepler-142,1,3,2014.0,Transit,1.99,4.62,3.22,2.024152,0.032,0.0,84.56,1597.0,0.02394,2.489,2455003.49468,1247.908,5790.0,1.269,0.978,0.10706,0.05,4.262,7.59,548.686,13.277,12.092,1.2795580694269082,0.005499669535645191,0.004140825975724626,0.00042259488084656207,0.04643656716409247,0.0017942615463803252,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6301775950937945,0.85
Kepler-142 c,Kepler-142,1,3,2014.0,Transit,2.86,8.55,2.01,4.761702,0.057,0.0,87.89,1201.0,0.04971,3.303,2455003.33543,399.444,5790.0,1.269,0.978,0.10706,0.05,4.262,7.59,548.686,13.277,12.092,1.2795580694269082,0.013155218019637841,0.004140825975724626,0.0008774933804044528,0.061623134328243234,0.0025359946982801674,G,0,0,0,0,1,0,0,0,0.0,0.0,0.565440919016763,0.1
Kepler-142 d,Kepler-142,1,3,2014.0,Transit,2.16,5.31,2.9,41.809118,0.242,0.0,89.98,582.0,0.01904,8.687,2454981.69926,22.072,5790.0,1.269,0.978,0.10706,0.05,4.262,7.59,548.686,13.277,12.092,1.2795580694269082,0.008171501312618528,0.004140825975724626,0.0003360988526031137,0.16207089552208567,0.0020040791509292164,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7291539880219448,0.5
Kepler-1420 b,Kepler-1420,1,1,2016.0,Transit,1.28,2.18,5.71,6.69960006,0.0671,0.0,90.0,806.0,0.02537,2.704,2454967.14722,131.526,5187.0,0.79,0.82,-0.23199,-0.1,4.57,4.9,1054.37,15.894,14.396,0.5861516609994126,0.0007276521398789009,2.635902070016939e-05,0.00044783759929311944,0.05044776119393573,0.00015932868344837152,K,0,0,0,0,0,1,0,0,0.0,0.0,0.8345802132355951,1.0
Kepler-1421 b,Kepler-1421,1,1,2016.0,Transit,0.93,0.749,5.12,6.9131112,0.07576,0.0,88.6,1209.0,0.00379,4.768,2454971.424,649.151,6335.0,1.42,1.25,0.59941,0.05,4.23,2.75,783.401,12.868,11.839,3.975666991332098,0.001521273616448381,0.0003960341947733604,6.690203000870803e-05,0.08895522388043105,0.00026150524710440203,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7839752308404787,1.0
Kepler-1422 b,Kepler-1422,1,1,2016.0,Transit,2.02,4.74,3.16,18.6051942,0.1499,0.0,89.75,833.0,0.02425,7.18,2454982.0326,156.9,6194.0,1.23,1.15,0.44726,0.0,4.32,3.02,2465.84,15.741,14.658,2.80065749341572,0.0008903770659668194,1.9543077192669177e-11,0.00042806707855175984,0.13395522388034709,0.00016129917426109606,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7070627510874422,0.5
Kepler-1423 b,Kepler-1423,1,1,2016.0,Transit,1.06,1.2,5.54,23.955378,0.1586,0.0,89.12,741.0,0.02287,3.185,2454979.66357,71.16,4939.0,0.75,0.79,-0.52,-0.02,4.59,4.68,449.0,14.721,13.003,0.3019951720402016,0.0025681529366953447,0.011220643809589084,0.0004037069726382989,0.05942164179093391,0.003665238215094201,K,0,0,0,0,0,1,0,0,0.0,0.0,0.8677845206867667,1.0
Kepler-1424 b,Kepler-1424,1,1,2016.0,Transit,1.16,1.65,5.81,29.6091744,0.19068,0.0,82.54,629.0,0.01259,5.471,2454970.33591,58.6,5838.0,1.07,1.02,0.27098,0.01,4.39,5.25,661.421,13.756,12.497,1.8662937428526307,0.002952970357795577,0.0013411739050246552,0.00022224183583367655,0.10207089552219763,0.0006978152971819739,G,0,0,0,0,1,0,0,0,0.0,0.0,0.875871090267209,1.0
Kepler-1425 b,Kepler-1425,1,1,2016.0,Transit,0.94,0.779,5.15,14.4541302,0.11435,0.0,87.74,676.0,0.00797,7.095,2454968.4467,216.405,5718.0,0.95,0.97,0.39762,-0.03,4.47,4.07,863.873,13.681,12.354,2.4981585605184207,0.002428479944901488,0.0001771116913192648,0.00014068843777556805,0.13236940298482766,0.00028770208759474795,G,0,0,0,0,1,0,0,0,0.0,0.0,0.8706177242448615,1.0
Kepler-1426 b,Kepler-1426,1,1,2016.0,Transit,1.56,3.05,4.41,14.2563227,0.1187,0.0,85.33,797.0,0.02061,4.389,2454966.405,95.22,5831.0,1.02,1.02,0.0355,0.03,4.43,4.07,1697.81,15.464,14.032,1.0851755496327806,0.001053078587398706,4.2316024197221816e-08,0.000363812886142341,0.08188432835805619,0.00016229133053859596,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7891840959050139,1.0
Kepler-1427 b,Kepler-1427,1,1,2016.0,Transit,1.1,1.37,5.66,0.968972376,0.0197,0.0,89.25,1844.0,0.01185,1.622,2454965.42945,2730.51,5793.0,1.01,1.01,0.0156,0.06,4.44,4.07,1220.0,15.601,14.147,1.036573256767005,0.0003310882552960598,5.030455607111448e-06,0.00020917917034384963,0.03026119402979429,7.148884907617183e-05,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7266622161064434,1.0
Kepler-1428 b,Kepler-1428,1,1,2016.0,Transit,1.64,3.33,4.15,10.67607169,0.11051,0.0,88.6,1049.0,0.01418,4.549,2454973.59244,817.579,6184.0,1.36,1.28,0.94388,0.35,4.28,2.04,1530.32,13.759,12.416,8.78779667486067,0.0032676399664001675,2.2589399418326484e-07,0.0002503089143861424,0.08486940298491628,0.00032789253467306286,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7382011673671933,1.0
Kepler-1429 b,Kepler-1429,1,1,2016.0,Transit,1.29,2.21,5.66,4.48487493,0.055,0.0,88.57,1199.0,0.01349,2.58,2454968.02778,551.156,5902.0,1.07,1.05,0.13795,0.04,4.4,4.17,1214.09,15.053,13.775,1.3738837916900133,0.0006696098023945538,5.336716402623903e-06,0.00023812886142941195,0.04813432835811915,0.00010614640456714576,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7774932443103669,1.0
Kepler-143 b,Kepler-143,1,2,2014.0,Transit,2.41,6.39,2.51,16.007583,0.127,0.0,88.09,838.0,0.02866,1.133,2454975.63677,118.334,5848.0,1.359,0.982,0.29363,-0.01,4.202,9.33,809.467,13.882,12.59,1.966210450194286,0.002807961449001156,0.00030516132096184247,0.0005059135039708634,0.0211380597014531,0.0004314194954134576,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6536986428296064,0.5
Kepler-143 c,Kepler-143,1,2,2014.0,Transit,3.37,11.3,1.62,27.082511,0.181,0.0,87.22,703.0,0.04232,5.103,2455024.80613,58.7,5848.0,1.359,0.982,0.29363,-0.01,4.202,9.33,809.467,13.882,12.59,1.966210450194286,0.008799509068426203,0.00030516132096184247,0.0007470432480128032,0.09520522388041938,0.0009889519040066097,G,0,0,0,0,1,0,0,0,0.0,0.0,0.5731075827083878,0.1
Kepler-1430 b,Kepler-1430,1,1,2016.0,Transit,1.18,1.76,5.89,2.46050993,0.0304,0.0,89.71,969.0,0.02768,2.003,2454966.61249,208.54,4796.0,0.72,0.77,-0.81553,-0.03,4.62,2.09,875.523,15.567,13.546,0.1529220107987462,0.0014948807879903933,0.0001576347358005886,0.0004886142983221737,0.03736940298500491,0.00027208436291813155,K,0,0,0,0,0,1,0,0,0.0,0.0,0.8102715546798401,1.0
Kepler-1431 b,Kepler-1431,1,1,2016.0,Transit,1.47,2.76,4.77,5.86601526,0.0648,0.0,86.8,1064.0,0.0183,3.978,2454969.35597,469.819,5806.0,1.03,1.03,0.24349,0.07,4.42,4.27,1623.24,15.4,14.098,1.751822096549711,0.0008376902856262231,8.919864393485997e-08,0.0003230361871132868,0.07421641791030929,0.00013584115430941875,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7664315090418978,1.0
Kepler-1432 b,Kepler-1432,1,1,2016.0,Transit,2.22,5.56,2.79,23.9109011,0.1696,0.0,89.33,709.0,0.0294,5.055,2454983.5316,119.237,6031.0,1.13,1.09,0.4492,0.02,4.37,3.47,2171.87,15.594,14.268,2.813196056799961,0.0012972028984285103,3.695629591253336e-10,0.0005189761694606903,0.09430970149236136,0.00021406298474092107,F,0,0,0,1,0,0,0,0,0.0,0.0,0.697441608443327,0.5
Kepler-1433 b,Kepler-1433,1,1,2016.0,Transit,1.56,3.05,4.41,4.13592271,0.0516,0.0,89.27,1226.0,0.01562,2.789,2454966.53956,535.42,6097.0,1.19,1.14,0.247,0.07,4.34,3.02,1328.0,15.051,13.772,1.7660378206861644,0.000808360877521243,1.7083202161305435e-06,0.0002757281553393191,0.05203358208945516,0.00012437216278921286,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7301563937669563,1.0
Kepler-1434 b,Kepler-1434,1,1,2016.0,Transit,1.11,1.41,5.67,8.05333618,0.0917,0.0,89.82,1320.0,0.00351,5.277,2454967.96049,925.289,6291.0,2.04,1.47,0.86244,0.19,3.98,2.57,775.529,12.198,11.067,7.285175191455871,0.0030178709429813187,0.00042846992889368816,6.195939982336812e-05,0.09845149253712975,0.00039746443673022944,F,0,0,0,1,0,0,0,0,0.0,0.0,0.775149786946475,1.0
Kepler-1435 b,Kepler-1435,1,1,2016.0,Transit,0.86,0.566,4.89,4.45343281,0.05456,0.0,85.8,1331.0,0.00474,3.796,2454966.09366,893.886,6356.0,1.32,1.21,0.4683,-0.03,4.28,2.63,704.211,12.984,11.995,2.9396796094924174,0.001470420143518546,0.0008742798841424219,8.367166813753986e-05,0.07082089552225593,0.00040401012489923305,F,0,0,0,1,0,0,0,0,0.0,0.0,0.7572194748074849,1.0
Kepler-1436 b,Kepler-1436,1,1,2016.0,Transit,1.31,2.27,5.55,9.705716,0.0907,0.0,75.52,1001.0,0.01408,6.922,2454973.3731,772.079,5972.0,1.09,1.06,0.80118,-0.01,4.39,3.8,2530.62,15.119,13.75,6.326740184803425,0.001171435692131668,1.0224850859234438e-11,0.00024854368931994964,0.12914179104453516,0.0001492856454512071,G,0,0,0,0,1,0,0,0,0.0,0.0,0.8053628305751289,1.0
