pl_name,hostname,sy_snum,sy_pnum,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_insol,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,st_age,sy_dist,sy_vmag,sy_jmag,st_lum_linear,snr_proxy,distance_penalty,transit_depth_norm,obs_duration_norm,detectability,spectral_class,star_O,star_B,star_A,star_F,star_G,star_K,star_M,star_Unknown,priority_score,_hz_factor_diag,_esi_diag,_rocky_diag
K2-72 d,K2-72,1,4,2016.0,Transit,1.01,1.01,5.39,7.760178,0.05,0.11,89.26,381.3524299089221,,1.45,2456984.788,5.4,3360.47,0.330989,0.271365,-1.83673,0.0205,5.048,3.98,66.4321,15.37,11.685,0.014563642178770752,0.0,0.514622838009372,0.0,0.027052238805919678,0.1543868514028116,M,0,0,0,0,0,0,1,0,0.0,0.0,0.960686673975016,1.0
K2-72 e,K2-72,1,4,2016.0,Transit,1.29,2.21,5.66,24.158868,0.106,0.11,89.68,261.9139241774622,,2.25,2456987.054,1.2,3360.47,0.330989,0.271365,-1.83673,0.0205,5.048,3.98,66.4321,15.37,11.685,0.014563642178770752,0.0,0.514622838009372,0.0,0.04197761194022019,0.1543868514028116,M,0,0,0,0,0,0,1,0,0.2204479665713586,0.04941519634130981,0.9591337492255289,1.0
K2-73 b,K2-73,1,2,2016.0,Transit,2.58,9.2,2.8,7.49556,0.07619,0.0,88.44303,968.0,0.058,3.5904,2456987.6726,209.0,5867.0,1.058,1.02,0.07609,0.04,4.39,3.98,269.183,11.345,10.695,1.191488897856394,0.05794279108372131,0.06775683084664717,0.001023830538391838,0.06698507462674069,0.025457193522938,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6482289860191559,0.1
K2-74 b,K2-74,1,1,2016.0,Transit,2.31,5.95,2.65,19.5666,0.1402,0.0,88.91991,706.6695403582046,0.0818,5.12,2456997.9992,59.1,6060.0,0.98,0.96,0.05957,-0.21,4.444,3.98,377.822,12.715,11.427,1.147017383882991,0.04972654484615444,0.02286335199299933,0.00144395410414573,0.09552238805952327,0.0113747594876386,F,0,0,0,1,0,0,0,0,0.0,0.0,0.6856922719826491,0.5
K2-75 b,K2-75,1,2,2016.0,Transit,2.67,7.61,2.2,7.8142,0.081,0.0,87.41339,1160.4159625011991,0.0392,5.48,2456983.451,430.0,5995.0,1.56,1.16,0.34943,0.3,4.118,3.98,561.93,12.803,11.564,2.235784803745681,0.021730831597608913,0.0036271792459863523,0.000691968225947587,0.10223880596995852,0.003073758458963629,G,0,0,0,0,1,0,0,0,0.0,0.0,0.5881402863306756,0.1
K2-75 c,K2-75,1,2,2016.0,Transit,2.77,8.1,2.09,18.311,0.1429,0.0,88.79606,873.6552465193059,0.041,6.42,2456992.715,138.0,5995.0,1.56,1.16,0.34943,0.3,4.118,3.98,561.93,12.803,11.564,2.235784803745681,0.024600921248869884,0.0036271792459863523,0.0007237422771390579,0.1197761194027616,0.003324082823046325,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6079934227627947,0.1
K2-77 b,K2-77,1,1,2016.0,Transit,2.4996027,603.877,213.17874837519062,8.2000844,0.0753,0.29,88.33,806.0,0.0831,2.544,2457316.80766,58.0,5160.0,0.792,0.847,-0.39686,0.13,4.569,4.7,141.731,12.224,10.384,0.40099596261997517,0.09305925625814157,0.24236510292058092,0.0014669020300062366,0.047462686567075626,0.08091333499330097,K,0,0,0,0,0,1,0,0,0.0,0.0,0.2667699887061391,0.5
K2-79 b,K2-79,1,1,2016.0,Transit,4.15,5.9,0.476928,10.995039,0.0987,0.032,88.42,1033.0,0.088,4.5655,2459917.9583,180.0,5897.0,1.269,1.06,0.24551,0.035,4.26,6.5,256.011,12.152,10.358,1.7599891885836043,0.13521561435051782,0.07729623738952748,0.001553398058249685,0.08517723880581124,0.034993440258547066,G,0,0,0,0,1,0,0,0,0.0,0.0,0.35742948025044863,0.1
K2-8 b,K2-8,1,2,2015.0,Transit,3.58,12.5,1.5,10.35239,0.0856,0.0,86.42,631.0,0.147,3.362,2456813.6114,37.7,4870.0,0.74,0.78,-0.55319,-0.02,4.52,3.98,403.513,14.801,12.829,0.27977570578499383,0.019907475471793706,0.017683381124202254,0.002594880847303451,0.0627238805968979,0.007516208694710036,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5658651247893637,0.1
K2-8 c,K2-8,1,2,2016.0,Transit,2.41,6.39,2.51,5.06416,0.0532,0.0,86.7,801.0,0.0993,2.08,2456813.0707,97.8,4870.0,0.74,0.78,-0.55319,-0.02,4.52,3.98,403.513,14.801,12.829,0.27977570578499383,0.010577448414330937,0.017683381124202254,0.001752868490729474,0.03880597014918133,0.0065547151303817115,K,0,0,0,0,0,1,0,0,0.0,0.0,0.6588148338321971,0.5
K2-80 b,K2-80,1,3,2016.0,Transit,2.01,4.7,3.18,19.0918,0.135,0.0,88.99371,609.2228515260019,0.0562,4.46,2457077.61,32.5,5441.0,0.87,0.9,-0.43238,0.07,4.519,3.98,200.802,12.694,10.874,0.3695047281837011,0.05306445949280491,0.13425423506268055,0.0009920564872003671,0.08320895522372534,0.04498538150876641,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7463057490593891,0.5
K2-80 c,K2-80,1,3,2016.0,Transit,1.47,2.76,4.77,5.605,0.0596,0.0,87.91636,916.895707228769,0.0301,2.68,2457066.4842,166.0,5441.0,0.87,0.9,-0.43238,0.07,4.519,3.98,200.802,12.694,10.874,0.3695047281837011,0.022030983874967675,0.13425423506268055,0.00053133274492404,0.049999999999906716,0.04225526229933971,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7873110960544536,1.0
K2-81 b,K2-81,1,1,2016.0,Transit,1.97,4.54,3.26,6.102325,0.059,0.06,89.29,676.162511522667,0.1076,2.15,2457070.44,62.9,4674.13,0.634663,0.745273,-0.5689,0.0205,4.668,3.98,252.318,14.314,12.048,0.26983606814263006,0.023923873715930768,0.08020415158904612,0.0018993821712234786,0.040111940298432625,0.026474750649399185,K,0,0,0,0,0,1,0,0,0.0,0.0,0.7398760991318123,0.85
K2-83 b,K2-83,1,2,2016.0,Transit,1.244,2.08,5.94,2.74697,0.03014,0.07,88.72,646.8339088821698,0.092,1.664,2457067.0633,41.5,3910.0,0.424,0.484,-1.20362,0.0205,4.863,3.98,125.529,14.522,11.599,0.06257199472224725,0.027212252264212117,0.28499318821474917,0.001624007060897398,0.03104477611934506,0.08813591246433089,K,0,0,0,0,0,1,0,0,0.0,0.0,0.8621289843319547,1.0
K2-83 c,K2-83,1,2,2016.0,Transit,1.483,2.8,4.72,9.99767,0.07131,0.06,89.51,420.52244861373475,0.1462,2.77,2457066.2703,7.42,3910.0,0.424,0.484,-1.20362,0.0205,4.863,3.98,125.529,14.522,11.599,0.06257199472224725,0.055793969046177776,0.28499318821474917,0.0025807590467739087,0.051679104477515524,0.0907568276273105,K,0,0,0,0,0,1,0,0,0.0,0.0,0.888467482926149,1.0
K2-84 b,K2-84,1,2,2016.0,Transit,2.41,6.39,2.51,6.4215,0.0665,0.0,88.74,932.2610117340919,0.0814,2.81,2457071.4212,178.0,5652.0,0.93,0.95,-0.42274,0.278,4.481,3.98,284.876,13.386,11.613,0.3777983005469985,0.030887130629926717,0.057916092321824084,0.0014368932038809586,0.05242537313423055,0.02028774086583762,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6415505813054472,0.5
K2-84 c,K2-84,1,2,2016.0,Transit,2.03,4.78,3.14,27.86,0.1768,0.0,88.74,571.7513703790702,0.0704,4.61,2457068.615,25.3,5652.0,0.93,0.95,-0.42274,0.278,4.481,3.98,284.876,13.386,11.613,0.3777983005469985,0.03421551819913382,0.057916092321824084,0.0012427184465997481,0.0860074626864067,0.020531832696798764,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7506661948642543,0.5
K2-85 b,K2-85,1,1,2016.0,Transit,1.4,3.2,5.9,0.68453862616,0.013,0.24,80.21,1355.0,0.04,0.8184,2457065.36778,800.0,4232.0,0.71,0.7,-0.81171,0.14,4.44,3.98,97.2179,12.416,10.229,0.1542730266719639,0.029305072603078856,0.37825791546096676,0.0007060900264771296,0.015268656716389424,0.11610964566181078,K,0,0,0,0,0,1,0,0,0.0,0.0,0.7471782719153933,1.0
K2-86 b,K2-86,1,1,2016.0,Transit,1.96,4.5,3.28,8.77683,0.077,0.0,88.56037,759.635376593527,0.0865,2.75,2457070.0173,78.0,5482.0,0.76,0.79,-0.38611,-0.35,4.579,3.98,258.699,13.041,11.44,0.41104559649757766,0.038078729911879224,0.07524619059175046,0.0015269196822567926,0.051305970149158005,0.026116091483260627,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7271400556032419,0.85
K2-87 b,K2-87,1,1,2016.0,Transit,7.6,44.9,0.562,9.726618,0.094,0.0,87.74,979.0,0.2692,4.56,2457072.30232,85.0,5747.0,1.401,1.164,-0.09769,0.328,4.208,3.98,491.242,14.136,11.811,0.7985645003185227,0.1084320021442511,0.007354668480322547,0.004751985878191082,0.08507462686551291,0.012373968749206316,G,0,0,0,0,1,0,0,0,0.0,0.0,0.34542135712598154,0.1
K2-88 b,K2-88,1,1,2016.0,Transit,1.23,2.04,6.02,4.6122,0.0345,0.26,87.75,424.962112276356,0.2194,1.039,2457066.2194,7.8,3537.0,0.256,0.258,-1.54478,0.0205,5.022,3.98,110.561,15.523,12.037,0.028524628700440213,0.03425661107359729,0.3310089052130702,0.003872903795227056,0.01938432835817279,0.10298920669908668,M,0,0,0,0,0,0,1,0,0.0,0.0,0.9172051934636758,1.0
K2-89 b,K2-89,1,1,2016.0,Transit,0.615,0.17,4.02,1.096026,0.01462,0.15,85.77,759.2567051730996,0.0346,0.895,2457066.0066,78.0,3691.0,0.318,0.347,-1.32653,0.0205,4.965,3.98,86.0386,14.162,10.933,0.04714873010225959,0.01386077827807707,0.4229987732746472,0.000610767872902717,0.016697761193998698,0.12820000934205852,M,0,0,0,0,0,0,1,0,0.0,0.0,0.7771991392976315,1.0
K2-9 b,K2-9,1,1,2015.0,Transit,2.25,5.69,2.74,18.4498,0.091,0.0,87.983,314.0,0.399,2.8397,2456822.6712,1.36,3390.0,0.31,0.3,-1.92082,-0.25,4.816,1.0,82.9631,15.86,12.451,0.011999965570481158,0.07034109527744983,0.4362102181982934,0.0070432480141093675,0.052979477611841456,0.13825100063069845,M,0,0,0,0,0,0,1,0,0.09249027312197936,0.014322214083075435,0.7798299314598413,0.5
