round,planet_idx,planet_name,mu_before,sigma_before,mu_after,sigma_after,delta,sigma_reduction,weather,detectability,snr_effective,cost_hrs,obs_number
13,4684,TOI-1411 b,0.9416946833283849,0.024994070910803252,1.0,0.016284981097021936,1.0252753845169371,0.008709089813781316,0.772,0.2428844217433019,0.0067035976288328455,0.9630215315709163,1
13,238,GJ 3929 b,0.9574743883945377,0.012143209246723439,0.8747389516475397,0.01,-0.08273543674699797,0.0021432092467234386,0.772,0.291125324455239,0.010717514932944283,0.9861056931477774,1
13,181,GJ 1252 b,0.9491102565560952,0.025050745596837943,0.9909277177710082,0.016543287838374932,0.04181746121491299,0.00850745775846301,0.772,0.2649775901104443,0.005632936394033907,0.9872526651001448,1
14,1137,HD 73583 b,0.5886111213399424,0.06849335532853319,0.19388954056137087,0.0475936778748933,-0.39472158077857156,0.020899677453639895,0.722,0.3761640521407834,0.05871729445704461,0.7361107243740757,1
14,336,HAT-P-22 b,0.6407239974425607,0.06712131558068817,0.63704348146711,0.05362521274236282,-0.0036805159754507194,0.013496102838325343,0.722,0.6363242582640772,0.45942611446666376,1.1951900918832261,1
14,4610,TOI-1130 c,0.659827541751997,0.07135080155212792,0.5819459305256578,0.05752602549462996,-0.07788161122633916,0.013824776057497955,0.722,0.6546054397161267,0.3134445395775885,1.2241729814344415,1
14,5512,tau Boo b,0.5315770326042801,0.0909233550721566,0.0,0.05882864976384353,-0.8785460712847565,0.03209470530831307,0.722,0.2565340680388779,0.0018521759712406985,0.9150373081203012,1
14,1177,HD 86226 c,0.8023110905334786,0.08920285209661317,0.38424652188813097,0.059729012076902635,-0.41806456864534763,0.02947384001971054,0.722,0.3129658730925937,0.03825107620623033,1.074705291639305,1
14,726,HD 164922 d,0.9072638365402276,0.05697870921868857,1.0,0.03650629973230103,1.0491843091013509,0.02047240948638754,0.722,0.2407517873293298,0.0017382279045177612,0.9427329340022998,1
14,202,GJ 251 b,0.9576206716010227,0.023617941774196582,1.0,0.015537930828905921,0.9710178023016693,0.00808001094529066,0.722,0.2837168615981652,0.002048435740738753,0.8650765356296963,1
14,945,HD 25463 c,0.9128554174365682,0.05639774101675187,0.14980744572395133,0.03576470870881028,-0.7630479717126168,0.02063303230794159,0.722,0.2243786013426961,0.00764504423044233,1.0008121381757131,1
15,4888,TOI-2443 b,0.835150494211261,0.11435793904727923,0.6625709208946993,0.08845518717273937,-0.17257957331656176,0.02590275187453986,0.764,0.5517351632440916,0.1830528352844963,0.806811664609201,1
15,4501,LTT 3780 c,0.8209923972372958,0.11484032806822037,0.9065330289534603,0.07865697970828468,0.0855406317161645,0.03618334835993568,0.764,0.3303118035146778,0.030721506374729396,1.0745320907308984,1
15,4810,TOI-2076 b,0.6046559852833264,0.11774392943203839,0.07828686178629352,0.08120902175405624,-0.5263691234970329,0.03653490767798215,0.764,0.3422719464558457,0.052118510999106145,1.0680914452451087,1
15,881,HD 217107 b,0.5039611259249314,0.10833864656046352,0.0,0.07052703901020264,-0.7871921621513666,0.037811607550260876,0.764,0.2454672346686943,0.0018753696728688245,0.9345401728089012,1
15,5129,TOI-5800 b,0.7286279573735127,0.0814060567289511,1.0,0.05309772971667337,0.4519008425054363,0.02830832701227773,0.764,0.2486443233538234,0.013889154618059566,0.9858669838972764,1
15,195,GJ 2030 b,0.6970318709424791,0.1114774471321218,1.0,0.07085761037889778,1.7403714030406672,0.04061983675322403,0.764,0.2070570739146488,0.0015819160447079169,0.9997704684567722,1
15,5273,WASP-107 b,0.623240546954517,0.1153543377322147,0.6720443646327726,0.0945000825633514,0.048803817678255604,0.0208542551688633,0.764,0.6660392073058686,0.44699915657802486,1.3200073685510547,1
16,1311,HN Peg b,0.4301930721100257,0.1114473670770159,0.4624507242806705,0.07497216176571576,0.032257652170644815,0.036475205311300135,0.863,0.250284050445672,0.0021599513553461494,0.6761015227897423,1
16,4911,TOI-260 b,0.9501501325071731,0.03158982503782905,1.0,0.022503500632547864,0.12106944469386015,0.009086324405281183,0.863,0.3494136807183767,0.04322254377198707,0.950484337149747,1
16,5001,TOI-431 c,0.9346567097669847,0.04455094566720566,1.0,0.02936993580147184,0.15494529461181505,0.01518100986573382,0.863,0.2166095609543538,0.0018693405110360734,0.9838152705973742,1
16,781,HD 18599 b,0.5746590001562126,0.08236903606055532,0.3361157553449358,0.05822923226662895,-0.2385432448112768,0.02413980379392637,0.863,0.3358277196002546,0.05251522180998977,1.0073484716173253,1
16,5198,TOI-776 b,0.9336147606251071,0.05319357486412575,1.0,0.036356124183760295,0.2404325877877788,0.016837450680365455,0.863,0.2771708440176302,0.015898833887403322,1.0518967212642636,1
16,4913,TOI-262 b,0.7228488808545838,0.08366804959093901,0.6622102322729684,0.05625663041564388,-0.06063864858161536,0.027411419175295132,0.863,0.2494472280843122,0.016595768030725374,1.0017060999076934,1
16,5222,TOI-912 b,0.898241095743811,0.08617274806504324,1.0,0.059125925089453885,0.37931156658306786,0.027046822975589357,0.863,0.2838313088270552,0.017571180825554502,1.1102192935281923,1
16,319,Gliese 12 b,0.9602946398918137,0.030551988022887493,1.0,0.02123754824489552,0.06965501668726913,0.009314439777991974,0.863,0.3063204839719251,0.014710082723806807,0.9583978259296347,1
17,298,GJ 900 b,0.3205611006958013,0.1372301132992077,1.0,0.08868612846505004,1.0509408548532102,0.04854398483415766,0.744,0.2436462734910909,0.0018127282747737164,0.6877116730234466,1
17,5050,TOI-480 b,0.5812582548817067,0.13480524943853694,0.9044742338036756,0.09197371555802623,0.32321597892196896,0.04283153388051071,0.744,0.3336775596851048,0.05462971599771638,1.1200262954903515,1
17,1097,HD 63433 c,0.7060310087738472,0.1394524734562783,0.730191041282512,0.11781326306393294,0.024160032508664806,0.021639210392345343,0.744,0.7400683653716302,0.5506108638364929,1.0305694906009495,1
17,846,HD 207897 b,0.8814334397048909,0.09499132285252572,0.743439160172944,0.06976300181933366,-0.1379942795319469,0.025228321033192058,0.744,0.4640361695257392,0.11308408333857736,1.005568715207445,1
17,4917,TOI-270 c,0.830525185038495,0.0736872543530257,1.0,0.050109718311734684,1.0625494975755998,0.023577536041291015,0.744,0.3280809282316919,0.029355551687014852,1.0963167328603223,1
17,972,HD 285968 b,0.5689598661235697,0.04615576032693493,1.0,0.03036850574814216,1.7026437404758863,0.015787254578792768,0.744,0.2728925081632841,0.002030320260734834,0.8853702968639788,1
17,3721,Kepler-444 c,0.9037659860869565,0.051284960023288244,1.0,0.03254830623667165,1.2361324681548544,0.018736653786616597,0.744,0.2146399341001542,0.0015969211097051474,0.9865893696137674,1
17,4886,TOI-2431 b,0.9220841641739852,0.04519629812675107,1.0,0.028792786281626168,0.8969114473021867,0.016403511845124903,0.744,0.2206518030789843,0.002551160439662163,0.987125557233391,1
18,1131,HD 73344 b,0.6612186857500548,0.09473388994663852,0.440343727167261,0.07464686800951759,-0.2208749585827938,0.020087021937120933,0.773,0.5834092914785957,0.23145003341685724,0.797771388439342,1
