,pl_name,hostname,pl_rade,pl_eqt,pl_orbsmax,st_teff,spectral_class,detectability,priority_score,pred_priority,uncertainty,scientific_gain,pred_str
2191,Kepler-345 c,Kepler-345,1.2,575.0,0.077,4504.0,K,0.0229222135291102,0.602945822955388,0.6308977945668187,0.09992886279632904,0.0022905907307386106,0.631 +/- 0.100
2192,Kepler-947 b,Kepler-947,2.28,573.0,0.1773,5508.0,G,0.0003710219130506,0.64075446528514,0.6308006036820818,0.040414151373282664,1.4994535756831868e-05,0.631 +/- 0.040
2193,Kepler-343 c,Kepler-343,2.02,746.0,0.167,5807.0,G,0.0002816360174485,0.634645086236958,0.6307239741903496,0.04318304337253156,1.216190035674563e-05,0.631 +/- 0.043
2194,Kepler-1918 b,Kepler-1918,2.29763023,497.0,0.2524,5889.0,G,0.0006273510092396,0.6426661755267511,0.6305387584226622,0.05474796292922374,3.434618979746072e-05,0.631 +/- 0.055
2195,TOI-1670 b,TOI-1670,2.06,1062.0,0.103,6170.0,F,0.0675771891138228,0.6131103699381719,0.6305079215519309,0.09659761195334715,0.006527795090915009,0.631 +/- 0.097
2196,Kepler-235 d,Kepler-235,2.05,401.0,0.122,4255.0,K,0.005286818404207,0.6205885228430668,0.6304787219613914,0.03102032335053966,0.00016399881639408523,0.630 +/- 0.031
2197,Kepler-1273 b,Kepler-1273,2.49,573.0,0.1857,5566.0,G,0.0004044381370758,0.6304906870068124,0.6304505456070469,0.02417230581612225,9.776202333099008e-06,0.630 +/- 0.024
2198,WASP-18 b,WASP-18,13.89913607,2429.0,0.02024,6432.0,F,0.5909404611318899,0.6737258736808365,0.6304487417624982,0.0800064084747882,0.04727902391759768,0.630 +/- 0.080
2199,K2-247 c,K2-247,2.19,688.0,0.0615,4667.0,K,0.0244565022100516,0.62599840265124,0.6302617916383771,0.04460746068626183,0.0010909424608583523,0.630 +/- 0.045
2200,Kepler-1247 b,Kepler-1247,2.33,676.0,0.1091,5303.0,G,0.000448520619781,0.6318773731299713,0.6301320571758176,0.011769923048313369,5.279053180404189e-06,0.630 +/- 0.012
2201,Kepler-158 b,Kepler-158,2.12,500.0,0.111,4623.0,K,0.0140969190537942,0.5912056400060407,0.6300239015209554,0.042555812173581724,0.0005999058394794513,0.630 +/- 0.043
2202,Kepler-1496 b,Kepler-1496,2.22,535.0,0.3211,6182.0,F,0.0002813368941776,0.6364217687448581,0.6298736929073636,0.041143032059536885,1.1575052856679533e-05,0.630 +/- 0.041
2203,GJ 682 c,GJ 682,2.89,173.8593775779077,0.176,3028.0,M,0.2853496797443083,0.5625399521386586,0.6298451662693791,0.12984107481434876,0.03705010911593119,0.630 +/- 0.130
2204,Kepler-1186 b,Kepler-1186,2.23,724.0,0.1281,5635.0,G,0.0003749816309752,0.6348773941349447,0.6293052355890394,0.014327506552310966,5.372551774793431e-06,0.629 +/- 0.014
2205,KOI-7913 b,KOI-7913 A,2.34,432.0,0.1456,4324.0,K,0.0217248429213953,0.6267762216426465,0.6291726319119197,0.043929795159388954,0.0009543678994067967,0.629 +/- 0.044
2206,Kepler-672 b,Kepler-672,2.5,529.0,0.2163,5627.0,G,0.0006426401240865,0.6320819459030159,0.6291680923224244,0.02688211728788751,1.7275527189595875e-05,0.629 +/- 0.027
2207,Kepler-85 e,Kepler-85,1.27,559.0,0.163,5436.0,G,0.0003385258810095,0.5895818152387452,0.6290919208932816,0.10524945123727901,3.562966320586629e-05,0.629 +/- 0.105
2208,Kepler-1422 b,Kepler-1422,2.02,833.0,0.1499,6194.0,F,0.000161299174261,0.6273215933473446,0.6290322293011725,0.03649317641590172,5.886319222045947e-06,0.629 +/- 0.036
2209,Kepler-310 d,Kepler-310,2.47,353.0,0.392,5797.0,G,0.0018553476670606,0.6475430506294886,0.628835224930024,0.09279882627349623,0.00017217408583249314,0.629 +/- 0.093
2210,Kepler-1529 b,Kepler-1529,2.1,817.0,0.0525,5048.0,K,0.0009201256324574,0.6375689836365893,0.6288177088635071,0.026421451451593154,2.431105472733964e-05,0.629 +/- 0.026
2211,Kepler-300 c,Kepler-300,2.25,516.0,0.232,5986.0,G,0.0010077009106273,0.6446180152178856,0.6288099596503107,0.028888759894534752,2.911122965261609e-05,0.629 +/- 0.029
2212,Kepler-1192 b,Kepler-1192,2.36,600.0,0.1693,5438.0,G,0.0004484256677477,0.6287289756795016,0.6287004831814033,0.014398461662330364,6.4566397854701515e-06,0.629 +/- 0.014
2213,Kepler-245 c,Kepler-245,2.18,568.0,0.124,5100.0,K,0.0006136660906369,0.6500227177578723,0.6286610901730351,0.07012954596235726,4.303612430886058e-05,0.629 +/- 0.070
2214,Kepler-1161 b,Kepler-1161,2.13,485.0,0.0784,4253.0,K,0.0021511419715446,0.6244604945536238,0.6286496721154095,0.020434089815754657,4.395662825298191e-05,0.629 +/- 0.020
2215,Kepler-594 b,Kepler-594,2.18,678.0,0.1089,5485.0,G,0.0007612063689791,0.639840300714803,0.628587415066935,0.025337172805239512,1.9286817311272366e-05,0.629 +/- 0.025
2216,HD 94834 b,HD 94834,13.7,262.00786274377015,2.74,4798.0,K,0.1124123126552335,0.5763502008040766,0.6284146152828411,0.195142506319232,0.021936420432683387,0.628 +/- 0.195
2217,Kepler-1958 b,Kepler-1958,2.05124311,806.0,0.0856,5749.0,G,0.0002071438039622,0.6380876615665689,0.6282844042569583,0.02960550857982274,6.132597665460032e-06,0.628 +/- 0.030
2218,Kepler-1021 b,Kepler-1021,2.33,634.0,0.1034,5431.0,G,0.0006818933288189,0.6356676186002066,0.6282175805554433,0.0334795282556441,2.2829466969527575e-05,0.628 +/- 0.033
2219,Kepler-967 b,Kepler-967,2.35,638.0,0.1027,5178.0,K,0.0022007631785673,0.634132640479527,0.6280825608678128,0.03612352022464966,7.949931319064014e-05,0.628 +/- 0.036
2220,Kepler-1208 b,Kepler-1208,2.32,665.0,0.0901,5001.0,K,0.0004970012072391,0.6336336224304026,0.6280572462555475,0.02719620011115652,1.3516544287560935e-05,0.628 +/- 0.027
2221,HIP 38594 b,HIP 38594,2.77,281.98507211226183,0.256,4086.3,K,0.2511113521091113,0.6789925822153008,0.6278878725324525,0.08250529787907478,0.02071801690657946,0.628 +/- 0.083
2222,Kepler-110 c,Kepler-110,2.21,743.0,0.198,5960.0,G,0.0021376068189912,0.630215191642204,0.6278764129443333,0.0395661601747843,8.457689379091698e-05,0.628 +/- 0.040
2223,K2-57 b,K2-57,2.30905002,635.8,0.0752,4413.0,K,0.0232643208794957,0.6172925122091552,0.6278484040828122,0.041219465560026154,0.0009589428732697704,0.628 +/- 0.041
2224,HD 69830 d,HD 69830,4.45,281.81816615963874,0.63,5385.0,G,0.2645926503013533,0.6446760594880521,0.6278089181783376,0.15276377723970555,0.040420172689899246,0.628 +/- 0.153
2225,K2-59 b,K2-59,2.41,518.0542409463914,0.1354,5055.0,K,0.0151392597412868,0.6176613900854498,0.6275631258578483,0.01982076439392907,0.00030007170043054127,0.628 +/- 0.020
2226,Kepler-280 c,Kepler-280,2.01,1088.0,0.056,5744.0,G,0.0004572751491953,0.6204218224823399,0.6275126505098494,0.05243366585208705,2.3976612375369613e-05,0.628 +/- 0.052
2227,Kepler-1334 b,Kepler-1334,2.29,710.0,0.1229,5614.0,G,0.0004366753872581,0.6304149679101905,0.6274251213011552,0.010285727832654225,4.491524184555702e-06,0.627 +/- 0.010
